""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Rpgrip1"	2.4930235653005e-06	-0.708481147064019	0.025	0.186	0.0430420518549132
"Ccdc126"	4.74357225134838e-06	-0.331997242485215	0.006	0.137	0.0818977749195298
"Epha6"	3.5653144527448e-05	0.775907953125201	0.46	0.288	0.61555154026639
"4930578G10Rik"	4.86710360318038e-05	0.598860216647768	0.286	0.124	0.840305437089092
"Kif21b"	7.47080465956684e-05	-0.484642849891779	0.006	0.106	1
"Nrg3"	0.000131231984240653	0.484512829112782	0.876	0.77	1
"Unc119"	0.000268837762234958	-1.30333412787235	0.025	0.133	1
"Dlgap1"	0.000287352904584845	0.567038352618686	0.764	0.659	1
"G630016G05Rik"	0.000314888222919616	0.415703715593405	0.193	0.075	1
"Mapt"	0.000337366464901171	0.470576318996885	0.72	0.571	1
"Pnisr"	0.000388614090074755	0.402725837719877	0.764	0.65	1
"Eid1"	0.000403819091611697	0.656632271982335	0.497	0.367	1
"Sec11a"	0.000409083915676547	-0.513019319620331	0.081	0.208	1
"Psph"	0.000500711887191295	-0.32232690905925	0.037	0.146	1
"Dalrd3"	0.000638421150747457	-0.406116285058441	0.068	0.186	1
"Auts2"	0.000703612457282043	0.461668362850304	0.863	0.757	1
"Rasa1"	0.000719101093733012	-0.467105865346944	0.087	0.212	1
"Stx3"	0.000894501567369325	-0.418668964322338	0.273	0.429	1
"Tmem108"	0.000924489059000821	-0.394640887457243	0.261	0.425	1
"Stk3"	0.00102559787236304	0.404731755925568	0.342	0.199	1
"Myo1b"	0.00110898209954322	0.325352638872198	0.149	0.053	1
"Mid1ip1"	0.0011496846093798	-0.348885176784452	0.093	0.217	1
"Fkbp5"	0.00129357997292948	-0.434548698607262	0.037	0.133	1
"Gucy1a1"	0.00141301591507542	0.488767589359415	0.385	0.239	1
"Epc1"	0.00141769776762106	-0.75271390878702	0.217	0.354	1
"Spint2"	0.00144360489080267	-0.365010187674889	0.087	0.204	1
"Arhgef6"	0.00152483362985077	0.253021608354146	0.112	0.031	1
"Hat1"	0.00208778332413869	-0.350503083599226	0.043	0.137	1
"Paqr3"	0.00236387531389255	0.262450311399024	0.106	0.031	1
"Gng5"	0.00239873126626525	0.19644989743862	0.106	0.031	1
"4930527B05Rik"	0.00246439379735358	0.379394190790921	0.155	0.062	1
"Crebrf"	0.00251583400557463	0.462716168844775	0.354	0.226	1
"Polr3e"	0.00281938015964189	-0.27459221094774	0.062	0.164	1
"Meis2"	0.00312630403504299	0.563923994057966	0.516	0.394	1
"Nfat5"	0.00315294821839455	-0.337449847609413	0.292	0.442	1
"Guca1b"	0.00319134359635691	-0.885513154336356	0.031	0.115	1
