""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"H3f3b"	7.71099985580777e-22	0.347315272118995	0.973	0.966	1.33130412510521e-17
"Fos"	1.98355586738873e-17	-0.443909044594377	0.164	0.364	3.42460920504664e-13
"Malat1"	1.52441052671481e-15	0.200782857367448	1	1	2.63189477437312e-11
"mt-Co1"	3.56983384418233e-15	0.330474863700857	1	1	6.1633181319808e-11
"Pde10a"	1.80429827456313e-14	-0.521740790137709	0.393	0.577	3.11512097103325e-10
"Ldha"	1.1220053039199e-12	-0.388549762078182	0.639	0.812	1.9371421572177e-08
"Mxi1"	5.40216424149622e-12	-0.399319926214429	0.182	0.347	9.32683656294322e-08
"Cd63"	5.43578186105858e-12	-0.377212970686622	0.424	0.629	9.38487738311763e-08
"Scg2"	4.88354707510593e-10	-0.461332972297521	0.693	0.81	8.43144402517039e-06
"Slc16a3"	5.23710027520327e-10	-0.230188221874043	0.078	0.191	9.04185362513845e-06
"mt-Nd4l"	7.09368477438354e-10	-0.295913804206352	0.322	0.504	1.22472467629732e-05
"Lrrc24"	2.64860186502249e-09	-0.23536533070523	0.182	0.337	4.57281111996132e-05
"Gabrb2"	2.74768932089018e-09	-0.378419105126729	0.127	0.249	4.7438856125169e-05
"Mir124-2hg"	3.82627015944317e-09	0.219367741062522	0.976	0.982	6.60605543027863e-05
"Ackr1"	6.09845562137424e-09	-0.353414401073228	0.182	0.322	0.000105289836303026
"Elfn2"	6.15365448100053e-09	0.389443729650668	0.191	0.094	0.000106242844614474
"Syp"	1.03261803354224e-08	-0.280499718041768	0.589	0.781	0.000178281503491068
"Hacd3"	1.06035563246832e-08	-0.266367439801605	0.254	0.424	0.000183070399945655
"Nacad"	1.17872346131975e-08	-0.213471923312468	0.069	0.164	0.000203506605596856
"Egr1"	2.91169110207223e-08	-0.269479461848254	0.089	0.19	0.00050270346877277
"Mif"	3.44523757417334e-08	-0.233725563747573	0.914	0.955	0.000594820267181026
"Gabra1"	3.7537993459834e-08	-0.313031014898551	0.555	0.722	0.000648093457084034
"Bdnf"	5.20286242160113e-08	-0.219298787679124	0.104	0.212	0.000898274197089435
"Irf2bpl"	6.59161763631906e-08	-0.205171420352792	0.284	0.463	0.00113804278491049
"Manf"	1.01869766558264e-07	-0.223854513844809	0.175	0.309	0.00175878151962843
"Pde7b"	1.40464412201998e-07	-0.2350561465315	0.377	0.534	0.00242511807666749
"Eef1a1"	1.60703446728327e-07	-0.192354026550145	0.923	0.933	0.00277454500776457
"Grm7"	1.82373018395043e-07	-0.366402346737095	0.361	0.503	0.00314867016259043
"Gpr158"	2.01645926406479e-07	-0.213482470046753	0.132	0.243	0.00348141691940785
"Hcfc1r1"	2.05019642341108e-07	-0.239619344497895	0.287	0.463	0.00353966412501923
"Pbx1"	2.0966019791513e-07	-0.296439461682761	0.297	0.433	0.00361978331700471
"Gng3"	2.35723733286202e-07	-0.266917496812276	0.475	0.663	0.00406977025518628
"Hspa8"	2.4276820569913e-07	-0.206083068568375	0.908	0.949	0.00419139307139548
"Gpnmb"	2.73593641694397e-07	-0.268267672583786	0.085	0.177	0.00472359422385377
"Gstp1"	2.9079520930504e-07	-0.275215136207079	0.276	0.424	0.00502057928865151
"mt-Co2"	3.12123673356125e-07	0.197428841077323	0.999	1	0.0053888152204935
"Pcbp1"	3.45702777970344e-07	-0.233907872212044	0.237	0.383	0.00596855846165799
"Esam"	3.90076117889493e-07	-0.3245327967578	0.052	0.125	0.00673466417536209
"Gm10076"	4.13360595302367e-07	-0.206623114644523	0.143	0.263	0.00713667067789536
"Exoc7"	4.45812755189336e-07	-0.169851705712414	0.104	0.205	0.00769695721834388
"Sez6l2"	4.72167376016254e-07	-0.205827673971337	0.158	0.278	0.00815196974692063
"Erh"	6.03531407553024e-07	-0.235928031194557	0.309	0.473	0.010419969751403
"Maged1"	6.59756429816004e-07	-0.189293130955097	0.35	0.525	0.0113906947607733
"Nr4a1"	7.09457238000948e-07	-0.243376967408066	0.103	0.198	0.0122487792140864
"Nbea"	7.09866526961337e-07	-0.198639193543874	0.485	0.659	0.0122558455879875
"Prkcsh"	7.38595356114579e-07	-0.201798261190394	0.102	0.198	0.0127518488233182
"mt-Co3"	8.32279138952656e-07	0.199838303796273	1	0.997	0.0143692993340176
"Sycp3"	8.90825679798697e-07	-0.187054720176607	0.073	0.157	0.0153801053617245
"Rom1"	9.62873319012785e-07	-0.176125660326014	0.335	0.472	0.0166240078527557
"Timm13"	1.02186775305235e-06	-0.216969087178438	0.47	0.653	0.0176425467564489
"Slc6a8"	1.05784325595985e-06	-0.179520119944826	0.118	0.223	0.0182636638141468
"Arl2"	1.11683725840355e-06	-0.224490003028252	0.318	0.48	0.0192821952663373
"Sdhd"	1.1491254056096e-06	-0.1943997181744	0.171	0.292	0.0198396501278498
"Nedd4"	1.17277607440186e-06	-0.223830935361707	0.505	0.673	0.020247978924548
"Hgsnat"	1.22926258924915e-06	-0.168251492246338	0.057	0.129	0.0212232186033866
"Ftl1"	1.30449376922463e-06	-0.211641219457421	0.828	0.916	0.0225220849256632
"Plekha1"	1.34934981095183e-06	-0.233624605430248	0.198	0.322	0.0232965244860833
"Pde4a"	1.53289297637226e-06	-0.165720603430525	0.077	0.16	0.0264653972370671
"Sgms1"	1.59282979339338e-06	-0.212331263892027	0.321	0.473	0.0275002063829367
"Atp1b2"	1.73531194703547e-06	-0.216850228616587	0.759	0.875	0.0299601607655674
"Cabp2"	1.76333491055337e-06	-0.250073788152959	0.188	0.302	0.0304439772307039
"Srsf6"	1.91976453292605e-06	-0.195739444103354	0.172	0.287	0.0331447346609683
"Calr"	1.94417271105968e-06	-0.210655683791343	0.309	0.468	0.0335661418564454
"Rnf166"	2.04361695110083e-06	-0.162037825019967	0.068	0.143	0.0352830466607559
"Snhg11"	2.04954870956034e-06	-0.369080029708428	0.235	0.344	0.0353854584705593
"Ctsl"	2.05745146200451e-06	-0.217017951080846	0.291	0.44	0.0355218994915079
"Gabbr1"	2.0974670536175e-06	-0.158166901497467	0.128	0.229	0.0362127686807062
"Sf3a3"	2.22065017507321e-06	-0.153450534968631	0.117	0.216	0.038339525272639
"Gabrb1"	2.41170579209209e-06	-0.396007766797998	0.158	0.258	0.0416381005004699
"Eef1a2"	2.46807747708875e-06	-0.198679250767603	0.212	0.346	0.0426113576419372
"Rimkla"	2.4879306705901e-06	-0.174861437641327	0.063	0.136	0.042954123027738
"Lrit1"	2.52506555848113e-06	-0.213836357124337	0.116	0.215	0.0435952568671766
"Sirt2"	2.54642885944095e-06	-0.189085131339203	0.153	0.258	0.0439640942582479
"Eef1g"	2.62962704950832e-06	-0.223389724358874	0.615	0.788	0.0454005110097612
"Slit2"	2.65276109846667e-06	-0.730617350288917	0.187	0.288	0.045799920365027
"Lonp1"	2.69060191760301e-06	-0.182332920698201	0.052	0.119	0.0464532421074159
"Map3k1"	3.45850324509982e-06	-0.192026590736751	0.056	0.124	0.0597110585266483
"Pgam5"	3.45895073798127e-06	-0.154187588351245	0.103	0.195	0.0597187844912465
"Atp6v0d1"	3.9136050158613e-06	-0.19983981625605	0.501	0.683	0.0675683905988454
"Dnm1"	4.11684255553119e-06	-0.169317286059577	0.404	0.586	0.0710772867212461
"Vps29"	4.92278854227938e-06	-0.211858737256075	0.36	0.532	0.0849919441824535
"Kcnip3"	5.86618681971855e-06	-0.175670379314313	0.051	0.115	0.101279715442441
"Rps5"	6.4364865760223e-06	-0.184311111938686	0.839	0.907	0.111125940735025
"Prkag1"	6.4461395401297e-06	-0.184748679915063	0.209	0.333	0.111292599160339
"Cln6"	6.82302385831536e-06	-0.22247355234226	0.178	0.295	0.117799506913815
"Rps18"	6.82786688708986e-06	-0.186780169547397	0.868	0.928	0.117883121805607
"Sema4d"	6.93029828292227e-06	-0.156721158538306	0.091	0.176	0.119651599854653
"Tusc3"	7.05887363579958e-06	-0.197821520749825	0.236	0.353	0.12187145332208
"Rpl14"	7.16493091033375e-06	-0.171528329497538	0.878	0.924	0.123702532166912
"Maged2"	7.30636543108927e-06	-0.172429376924923	0.104	0.191	0.126144399167756
"Rpl22l1"	7.50137811284329e-06	-0.197533041494108	0.655	0.799	0.129511293118239
"Clptm1"	7.56202134269202e-06	-0.189319149023937	0.212	0.338	0.130558298481578
"Snhg15"	7.95837963694144e-06	-0.159262682571803	0.086	0.166	0.137401424431794
"Cct7"	8.25632521252747e-06	-0.170290844425139	0.374	0.556	0.142545454794287
"Glmp"	8.70529182352562e-06	-0.152487326861024	0.053	0.118	0.15029686333317
"Plekhj1"	8.76505811165809e-06	-0.19238255516559	0.256	0.402	0.151328728297777
"Spen"	9.04917534556807e-06	-0.201400631670837	0.116	0.208	0.156234012341233
"Bex4"	9.31844459244925e-06	-0.205642593896446	0.434	0.601	0.160882945888636
"Aff4"	9.39793621196383e-06	-0.204847444486456	0.402	0.569	0.162255368699556
"Camk4"	9.58961878305536e-06	-0.311447434929569	0.25	0.361	0.165564768289451
"Eif5a"	9.77221672380229e-06	-0.197987722307184	0.611	0.763	0.168717321736447
"Ncald"	9.84166074301039e-06	-0.157994299439623	0.361	0.521	0.169916272728074
"Gtpbp1"	1.01584890132426e-05	-0.192637737578393	0.179	0.292	0.175386312813633
"Pdia3"	1.02420265176394e-05	-0.219608256476295	0.256	0.39	0.176828587827045
"Mff"	1.02807801159441e-05	-0.215154827011334	0.385	0.549	0.177497668701775
"Cyth1"	1.04331182695718e-05	-0.173058442257902	0.293	0.448	0.180127786924158
"Zbtb38"	1.04972487744846e-05	-0.185005006383053	0.226	0.344	0.181235000091476
"Mrpl17"	1.05464505732327e-05	-0.18500516083939	0.224	0.355	0.182084469146863
"Rd3"	1.09120516529536e-05	-0.217993122871858	0.354	0.503	0.188396571788245
"Atp6ap2"	1.12427197327991e-05	-0.219915827859409	0.493	0.654	0.194105556186776
"Igsf8"	1.18236912644462e-05	-0.214533172698393	0.31	0.462	0.204136029680664
"Serf2"	1.22442168509479e-05	-0.181138765851987	0.55	0.725	0.211396403931615
"Rps9"	1.23278950505435e-05	-0.207737899900788	0.789	0.892	0.212841108047634
"Dnmt3a"	1.37845093807677e-05	-0.184099088741573	0.427	0.587	0.237989554458955
"Egln1"	1.38059587359686e-05	-0.151037561176715	0.084	0.16	0.238359877576498
"Snapc1"	1.41049909461785e-05	-0.163670606436589	0.102	0.188	0.243522668685773
