""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"H3f3b"	9.16609159781836e-10	1.05035122772288	0.951	0.79	1.58252571436334e-05
"Prkca"	5.46172109228576e-07	0.939719351919582	0.272	0	0.00942966146583136
"H2bu2"	3.76486764160703e-06	0.892922001228211	0.79	0.506	0.0650004398323454
"Ndufa4"	5.26581514451306e-05	0.677756288258435	0.864	0.728	0.90914298470018
"Ctnnbip1"	6.8166564989235e-05	0.929361491017789	0.321	0.074	1
"ENSMUSG00000095041"	7.93322708564033e-05	-1.04836529252295	0.037	0.247	1
"Hr"	8.86036388443431e-05	-0.939926416877499	0.025	0.235	1
"Fth1"	9.64406433988333e-05	0.652025811595812	0.889	0.728	1
"Auts2"	9.86808650084504e-05	0.57803579288676	0.173	0	1
"Tma7"	0.000108746648751964	0.584843066117836	0.951	0.877	1
"4930526L06Rik"	0.000122020728323041	0.871276315364584	0.383	0.123	1
"Mrps18a"	0.000123713974538152	-0.753300942031413	0.062	0.284	1
"Zswim8"	0.000134368945392542	-1.0199074347577	0.062	0.284	1
"Fbxw21"	0.000182631801728261	0.923147644373693	0.321	0.086	1
"Pcbp2"	0.000190780841589856	0.582611198381367	0.852	0.667	1
"Zc3h7b"	0.000203922524875162	0.724353245523733	0.185	0.012	1
"Dock9"	0.000208399450207682	0.685445083693414	0.259	0.049	1
"Rpl39"	0.000289466138548896	0.612804511128095	0.802	0.556	1
"Ndufs5"	0.000305406440610634	0.69382142346382	0.667	0.444	1
"Atp5e"	0.000318227922691688	0.700954581193172	0.654	0.42	1
"Rpgrip1"	0.00037685954975959	-0.457533441526453	0.963	0.988	1
"Gm11808"	0.000431698684751319	0.688406501417284	0.642	0.383	1
"4930578G10Rik"	0.000459446731324068	0.815541237076845	0.321	0.099	1
"Cacnb2"	0.000539474170053679	-0.744300946751735	0.617	0.79	1
"Dnttip2"	0.000560529881956108	0.838661674283524	0.37	0.148	1
"Aldoa"	0.00058981673279691	0.583035149502113	0.914	0.852	1
"Rab6a"	0.000658029456172809	0.762963806071508	0.284	0.086	1
"Ndufa12"	0.000758478991961893	0.734461511294444	0.654	0.407	1
"Celf1"	0.000821223504555093	-0.806746048969035	0.222	0.481	1
"Aopep"	0.000831650374875034	0.637376515139046	0.358	0.148	1
"Tmsb4x"	0.000873919430781316	0.72358955722145	0.617	0.42	1
"Rpl23a"	0.000894018959326175	0.493319228904215	0.753	0.556	1
"Ap3s1"	0.000922594073832171	0.644908525807285	0.321	0.111	1
"Cuedc1"	0.000951503881333461	0.59279038024026	0.765	0.556	1
