""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Depp1"	0.000244483491992017	-2.99626655036642	0	0.727	1
"Mfhas1"	0.000801383330352441	-1.87800300395922	0	0.636	1
"Ttc3"	0.00156363810065291	-1.41740320890038	0.286	0.818	1
"Ctsl"	0.00180181792978585	-1.87133185996929	0.143	0.727	1
"Sh3bgrl"	0.00225114845811901	1.60719242772053	0.857	0.364	1
"Matr3"	0.00243092443444855	-1.65830852309805	0	0.545	1
"Eif1"	0.00339600651771191	-1.04729173194617	0.857	1	1
"Ifitm3"	0.00402341419553829	1.03765467486223	0.929	0.818	1
"Fndc3b"	0.00405467219249945	1.59797923582218	0.643	0.091	1
"Slc16a2"	0.00405467219249945	1.62012119276585	0.643	0.091	1
"Nedd9"	0.00497255777797513	-1.39078408280035	0.071	0.636	1
"Mtch2"	0.00688436398733615	-1.18909396573108	0	0.455	1
"Macrod2"	0.00688436398733615	-0.854064338456223	0	0.455	1
"Snrnp40"	0.00688436398733615	-1.17134204811935	0	0.455	1
"Znhit1"	0.00688436398733615	-0.942433058634122	0	0.455	1
"Ndufa9"	0.00688436398733615	-1.52522015385952	0	0.455	1
"Bccip"	0.00688436398733615	-0.868215402635069	0	0.455	1
"Agpat5"	0.00688436398733615	-1.24067159434843	0	0.455	1
"Tma7"	0.00688436398733615	-0.50910545620341	0	0.455	1
"Eif1b"	0.00688436398733615	-0.718593174183401	0	0.455	1
"Myct1"	0.00688436398733615	-0.793731148957738	0	0.455	1
"Pip5k1c"	0.00688436398733615	-1.87939776628927	0	0.455	1
"Cnpy2"	0.00688436398733615	-1.55202111705214	0	0.455	1
"Jmy"	0.00688436398733615	-1.10408636377347	0	0.455	1
"Tox4"	0.00688436398733615	-1.068991991727	0	0.455	1
"Sox7"	0.00688436398733615	-1.54100004200167	0	0.455	1
"Derl1"	0.00688436398733615	-0.903979742805406	0	0.455	1
"Rnaset2a"	0.00688436398733615	-1.81650177509474	0	0.455	1
"Sgta"	0.00702456989816796	-1.28323559802851	0.071	0.545	1
"Tmed4"	0.00702456989816796	-1.36806459338421	0.071	0.545	1
"Nr1d1"	0.00702456989816796	-1.46761659258789	0.071	0.545	1
"Chka"	0.00702456989816796	-1.39335422448627	0.071	0.545	1
"Dynll1"	0.00787992429013989	-0.926049700115741	0.929	0.818	1
"Tcf15"	0.00819823387670138	-1.66377873105735	0.143	0.636	1
"Uvrag"	0.00819823387670138	-1.41201131447007	0.143	0.636	1
"Atp6v0a1"	0.00819823387670138	-1.46378312084555	0.143	0.636	1
"Acbd6"	0.00862534704446353	1.14084436299597	0.5	0	1
"Rnf181"	0.00862534704446353	-1.06340879039277	0.071	0.545	1
"Kat2b"	0.00862534704446353	-1.57440373217964	0.071	0.545	1
"Pmaip1"	0.00862534704446353	1.33969333887468	0.5	0	1
"Ube2b"	0.00904253503548739	1.08435756800951	1	0.545	1
"Elf2"	0.00987748816852885	-1.68346542196118	0.143	0.636	1
"Scmh1"	0.00987748816852885	-1.68915063815419	0.143	0.636	1
"Atl3"	0.00987748816852885	1.69970082668171	0.571	0.091	1
"Ocln"	0.0102307047306487	-1.21861089572505	0.286	0.727	1
"Vwa1"	0.0108925526878278	-0.85100636595403	0.857	1	1
"Tmtc2"	0.0113371304859955	-1.46237204899336	0.571	0.818	1
"Fmnl3"	0.0113598523220085	-1.25058740820957	0.214	0.727	1
"Polr2c"	0.0118566256752896	-1.16868037644017	0.143	0.636	1
"Dnajb11"	0.0128349114995566	-1.17160739139457	0.071	0.545	1
"Tmem243"	0.0141797556475106	-0.95593921162078	0.143	0.636	1
"Serinc3"	0.0143390673289292	-0.99223637857718	0.5	0.909	1
"Lasp1"	0.0155547918888196	-1.04033901368616	0.071	0.545	1
"Epb41l2"	0.0158535880962183	-1.44080899861334	0.143	0.545	1
"Rpl36"	0.0159858463336159	0.610695545833746	0.929	0.909	1
"Fam193b"	0.0168956263066011	-0.525316822410635	0.143	0.636	1
"Rbm25"	0.0175681283628172	-1.23193900137491	0.357	0.818	1
"Xrn2"	0.0175818411356083	1.18254487651131	0.429	0	1
"Ctso"	0.0175818411356083	1.42251051296181	0.429	0	1
"Pde4b"	0.0175818411356083	1.74608726925022	0.429	0	1
"Actn1"	0.0175818411356083	1.06508444906441	0.429	0	1
"C130074G19Rik"	0.0175818411356083	1.73113958201608	0.429	0	1
"Snhg6"	0.0183827716396813	-0.608823763993067	0	0.364	1
"Cnst"	0.0183827716396813	-0.644172925819176	0	0.364	1
"Scai"	0.0183827716396813	-0.811002159834797	0	0.364	1
"Tmx2"	0.0183827716396813	-0.956007387232685	0	0.364	1
"Sec23b"	0.0183827716396813	-1.27607082281073	0	0.364	1
"Ccm2l"	0.0183827716396813	-0.750829986432214	0	0.364	1
"Ndufb5"	0.0183827716396813	-1.03476906588338	0	0.364	1
"Cttnbp2nl"	0.0183827716396813	-0.877231180140785	0	0.364	1
"Bach2"	0.0183827716396813	-1.36246281176972	0	0.364	1
"Ddx58"	0.0183827716396813	-0.63510044054052	0	0.364	1
"Ppie"	0.0183827716396813	-1.23840249550805	0	0.364	1
"Pgm2"	0.0183827716396813	-0.805791336331702	0	0.364	1
"Mepce"	0.0183827716396813	-0.619018586315395	0	0.364	1
"Lfng"	0.0183827716396813	-1.12221627238253	0	0.364	1
"Zfp422"	0.0183827716396813	-1.11463196588373	0	0.364	1
"Rab4b"	0.0183827716396813	-0.691179631316843	0	0.364	1
"Htra1"	0.0183827716396813	-1.08621970202407	0	0.364	1
"Ric8a"	0.0183827716396813	-0.621557636903077	0	0.364	1
"Atp6v1b2"	0.0183827716396813	-1.30301676375402	0	0.364	1
"Terf2ip"	0.0183827716396813	-0.917557590229054	0	0.364	1
"Alkbh8"	0.0183827716396813	-0.980292459560874	0	0.364	1
"Qars"	0.0183827716396813	-1.26699867044463	0	0.364	1
"Hint3"	0.0183827716396813	-0.729861371092022	0	0.364	1
"Asf1a"	0.0183827716396813	-0.825369063192628	0	0.364	1
"Cnn2"	0.0183827716396813	-1.20667902754358	0	0.364	1
