""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Ldhb"	0.000406716369449667	-1.77856827672089	0.533	0.895	1
"Eif3h"	0.00228672015930765	2.25296115998466	0.667	0.211	1
"Cst3"	0.00285570177948385	-0.8858163510069	1	1	1
"Mthfsl"	0.00319234116425773	1.54562847413895	0.4	0	1
"Fcf1"	0.00319234116425773	1.82789865614748	0.4	0	1
"Sbf2"	0.00383381565593276	1.57623385240809	0.467	0.053	1
"Anp32a"	0.00546562543299788	1.14898012176527	0.667	0.211	1
"Ptpn6"	0.00552139759161591	-1.79384992214262	0	0.421	1
"Snx3"	0.00552139759161591	-1.60748596046881	0	0.421	1
"Hnrnpa2b1"	0.0059952007694992	-1.9705309960321	0.2	0.632	1
"mt-Co2"	0.0073383402522361	0.447831797415132	0.733	0.158	1
"Ube2v1"	0.00815469498855737	0.988171393262574	0.333	0	1
"Cdk6"	0.00815469498855737	1.17111300658514	0.333	0	1
"Etfa"	0.00815469498855737	1.15046677461696	0.333	0	1
"Map7"	0.00815469498855737	1.75208423688624	0.333	0	1
"Eola1"	0.00815469498855737	1.18514998266566	0.333	0	1
"Rbm47"	0.00815469498855737	1.72481676904894	0.333	0	1
"Clec4a2"	0.00815469498855737	1.5190758666571	0.333	0	1
"Cd74"	0.00815469498855737	3.33952884403673	0.333	0	1
"Gabarap"	0.0101769763742996	1.19595361067371	0.867	0.421	1
"Copa"	0.0107098914657262	1.32499302348544	0.4	0.053	1
"Sgce"	0.0107098914657262	1.24813749872323	0.4	0.053	1
"Cebpa"	0.0107098914657262	-1.66679753031858	0	0.368	1
"Havcr2"	0.0107098914657262	-0.997350772001059	0	0.368	1
"Psmb5"	0.0107098914657262	-1.43501458515516	0	0.368	1
"Srsf3"	0.0107098914657262	-1.62160998972133	0	0.368	1
"Slc15a3"	0.0107098914657262	-1.34024947056208	0	0.368	1
"Pabpc1"	0.0119554032812464	-1.08840995091133	0.6	0.895	1
"Eno1"	0.0125037154703592	-1.80832628706042	0.133	0.526	1
"Klk8"	0.0140107083711163	-1.85293446695727	0.133	0.526	1
"Cct5"	0.0158454857964653	-2.00338001763159	0.067	0.421	1
"Ssr4"	0.0161743021468019	0.558091209596348	0.733	0.263	1
"Hspa5"	0.0173720215049127	-1.87151429604681	0.133	0.474	1
"Krit1"	0.0201234263275435	0.940533622205044	0.267	0	1
"Selenow"	0.0201234263275435	0.566447637275396	0.267	0	1
"Bbc3"	0.0201234263275435	0.692066905036831	0.267	0	1
"Pih1d1"	0.0201234263275435	1.27251125568958	0.267	0	1
"Ipcef1"	0.0201234263275435	1.25719474845992	0.267	0	1
"Cops3"	0.0201234263275435	1.64233897507117	0.267	0	1
"Prcd"	0.0201234263275435	1.32369048168731	0.267	0	1
"Hexdc"	0.0201234263275435	0.940951769814779	0.267	0	1
"Nampt"	0.0201234263275435	0.903165380279033	0.267	0	1
"Coro1b"	0.0201234263275435	0.88049894073423	0.267	0	1
"A630001G21Rik"	0.0201234263275435	0.682808917640632	0.267	0	1
"Epsti1"	0.0201234263275435	1.18664582719142	0.267	0	1
"Capn3"	0.0202148773186335	-1.63626453458984	0	0.316	1
"Il21r"	0.0202148773186335	-1.4346710786877	0	0.316	1
"Sema4d"	0.0202148773186335	-1.23517038882718	0	0.316	1
"Sla"	0.0202148773186335	-1.00131044166577	0	0.316	1
"Vav1"	0.0202148773186335	-1.36317640590734	0	0.316	1
"Sparc"	0.0212224689082424	-1.59578843472985	0.733	0.789	1
"Eif3m"	0.023733844058375	1.50425004588516	0.667	0.368	1
"Pycard"	0.0242170961298735	-1.13847571789267	0.2	0.579	1
"Nme2"	0.0245259564566815	-1.0265037252417	0.333	0.737	1
"Arpc1b"	0.0245556250137418	1.60165397965381	0.867	0.579	1
"mt-Nd5"	0.0254992117354673	-1.13462212343092	0.067	0.421	1
"Snrpe"	0.0267409588014084	2.32319332180629	0.4	0.105	1
"Arhgdib"	0.0279207855955991	1.17669742173012	0.733	0.368	1
"Gm10790"	0.0280601105345468	1.43054883354668	0.467	0.158	1
"Snhg6"	0.0283890959371285	0.755530045642711	0.333	0.053	1
"Ssr2"	0.0283890959371285	1.29822226759396	0.333	0.053	1
"Trappc6a"	0.0283890959371285	1.55681356345972	0.333	0.053	1
"Ube2n"	0.0283890959371285	1.71564025861382	0.333	0.053	1
"Mocs2"	0.0283890959371285	1.31053631128415	0.333	0.053	1
"Paip1"	0.0283890959371285	0.961827779009953	0.333	0.053	1
"Atp6v1g1"	0.0291485225812049	1.16278858360295	0.6	0.211	1
"Wasf2"	0.0300010350516819	-1.382960325205	0.133	0.474	1
"Psma5"	0.0301099500076492	1.40180865039184	0.4	0.105	1
"Rab11b"	0.0301099500076492	1.66484193542391	0.4	0.105	1
"Ankrd11"	0.0312890292726557	0.994564719093751	0.467	0.158	1
"Spcs1"	0.0312890292726557	1.83003203318477	0.467	0.158	1
"Psmd7"	0.0319270884770812	-1.98569613049121	0.067	0.368	1
"Ghitm"	0.0320004821171941	1.30122113015039	0.467	0.105	1
"Rassf4"	0.0338374392919579	1.1683771272914	0.4	0.105	1
"Papss1"	0.0358446921771915	-1.49707738295741	0.067	0.368	1
"Pisd"	0.0358446921771915	-0.869547184292481	0.067	0.368	1
"Mat2b"	0.0358446921771915	-1.04204298202984	0.067	0.368	1
"Tmem50a"	0.0358837630374631	-0.852087790922065	0.2	0.579	1
"Dnajc2"	0.0368436305081783	1.46337663678682	0.333	0.053	1
"Ndufb7"	0.0369232014864959	1.07574186281434	0.533	0.158	1
"Bzw1"	0.0372782245716335	-1.01849506343929	0	0.263	1
"Dpm1"	0.0372782245716335	-1.44379919413948	0	0.263	1
"Pld1"	0.0372782245716335	-0.652639058224712	0	0.263	1
"Anp32e"	0.0372782245716335	-1.02445711937403	0	0.263	1
"Frrs1"	0.0372782245716335	-0.769623451803687	0	0.263	1
"Smim8"	0.0372782245716335	-1.34724448997115	0	0.263	1
"Plk3"	0.0372782245716335	-1.23277182973294	0	0.263	1
"Ankle2"	0.0372782245716335	-1.54106620765648	0	0.263	1
"Gmfg"	0.0372782245716335	-1.52615376899911	0	0.263	1
"Anapc16"	0.0372782245716335	-1.02461068230279	0	0.263	1
"Ncf4"	0.0372782245716335	-1.33106808620847	0	0.263	1
"Tbc1d22a"	0.0372782245716335	-0.949721489411233	0	0.263	1
"Ntan1"	0.0372782245716335	-0.830080862632072	0	0.263	1
"Etf1"	0.0372782245716335	-1.33742382092978	0	0.263	1
"Ccdc85b"	0.0372782245716335	-1.17548937746912	0	0.263	1
"Fam89b"	0.0372782245716335	-1.37874619271418	0	0.263	1
"Ppp1r14b"	0.0372782245716335	-1.09700793297158	0	0.263	1
