""	"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"Eno1"	1.61905098616734e-13	-0.417544122885388	0.981	1	2.7952915276179e-09
"Rlbp1"	1.26763115713432e-12	-0.388235172374015	0.972	0.995	2.1885651927924e-08
"Glul"	1.32109315833321e-10	-0.330026853920591	0.995	1	2.28086733786229e-06
"Trpm3"	1.80409981669778e-08	0.341516696405378	0.934	0.926	0.000311477833352871
"Itm2b"	5.17669871093512e-08	-0.354096198749806	0.958	0.975	0.000893757032442948
"Pgrmc1"	6.42271379944624e-08	-0.436802739636678	0.399	0.698	0.00110888153747439
"mt-Co1"	1.07043880951192e-07	0.468195675538135	0.953	0.916	0.00184811260462234
"A230059L01Rik"	1.87518787493706e-07	0.582536124703284	0.16	0.015	0.00323751186607884
"mt-Nd1"	5.50182246229618e-07	0.487566680135597	0.958	0.965	0.00949889648115436
"Kif21b"	6.115370075136e-07	-0.271142157000626	0.005	0.124	0.0105581864347223
"mt-Co3"	7.67822791439013e-07	0.486150912473541	0.939	0.931	0.0132564604941946
"mt-Atp6"	9.901298855861e-07	0.371906025815592	0.991	0.965	0.017094592474644
"Gapdh"	1.01830529161012e-06	-0.413728082194752	0.934	0.975	0.0175810408596487
"Flt1"	1.19036237622332e-06	0.415765591859738	0.915	0.921	0.0205516064254956
"Cd9"	1.48965386052508e-06	-0.43414234324703	0.831	0.931	0.0257188739019655
"Tubb4b"	1.88349391031518e-06	-0.507623435855328	0.512	0.748	0.0325185223615916
"Chst2"	3.23826436647443e-06	-0.529742243327437	0.291	0.525	0.0559086342871811
"Apoe"	4.21608914720964e-06	-0.252052898568786	0.995	0.99	0.0727907791265744
"Dmxl2"	4.27909035510234e-06	-0.198476371992578	0.014	0.129	0.0738784949808418
"Cav2"	5.91327833481477e-06	-0.386467410483591	0.62	0.822	0.102092750450577
"Ran"	6.72507519265606e-06	-0.39169312973325	0.54	0.762	0.116108423201207
"Rab3a"	7.654529649478e-06	-0.224181090694666	0.113	0.282	0.132155454398238
"Hes1"	8.20055146833828e-06	0.568388327142671	0.892	0.842	0.14158252110086
"Stmn1"	1.09496357130902e-05	-0.475645483705809	0.765	0.866	0.189045460586502
"Ckb"	1.299193642947e-05	-0.314585494661246	0.939	0.985	0.2243057824548
"Spc25"	1.63831423264954e-05	-0.385016981643073	0.944	0.955	0.282854952266944
"Cd81"	2.02985841502186e-05	-0.320878158659353	0.878	0.936	0.350455055353524
"Anp32e"	2.12047788200162e-05	-0.405283711255664	0.577	0.792	0.36610050632758
"Copz2"	2.23154916384294e-05	-0.303503325635845	0.216	0.45	0.385276963137484
"Mageh1"	2.66928486331678e-05	-0.442207603464871	0.488	0.713	0.460852031651642
"Gnb1"	2.81834157004941e-05	-0.353054402447069	0.146	0.322	0.486586672069031
"Slc35a3"	2.91862901183634e-05	-0.305125380700413	0.085	0.243	0.503901298893543
"Tmem59"	3.54445456790053e-05	-0.313810536107788	0.831	0.921	0.611950081148027
"Cul7"	3.61581797567043e-05	-0.151174719846697	0.047	0.178	0.624270973499499
"Eola1"	3.71832195233983e-05	-0.231313511670268	0.066	0.213	0.641968285071472
"Alkbh7"	4.35198573468306e-05	-0.281818386859563	0.122	0.297	0.75137033709303
"Ppia"	4.58115383200751e-05	-0.264919475360393	0.915	0.965	0.790936209096097
"Apoo"	4.59145962189317e-05	-0.361762721853583	0.117	0.282	0.792715503719856
"Tomm34"	4.60554193928711e-05	-0.325474857296658	0.164	0.351	0.79514681581792
"Atm"	4.71877391385845e-05	-0.202454501008267	0.042	0.168	0.814696316227661
"Srsf3"	4.88117574028377e-05	-0.375662069104003	0.516	0.723	0.842734991559993
"Wrnip1"	5.52826064273643e-05	-0.358065737582885	0.089	0.238	0.954454199968445
"Tuba1a"	5.93193995020485e-05	-0.374766939986868	0.901	0.946	1
"Unc50"	6.32592005230085e-05	-0.293397671121629	0.263	0.495	1
"Mea1"	6.51341651966097e-05	-0.39747315150868	0.202	0.406	1
"Atp5pb"	6.7891524677686e-05	-0.365160328095514	0.54	0.752	1
"Ccdc85c"	7.04667489092246e-05	-0.577560901304095	0.136	0.297	1
"H3f3b"	8.70195068078981e-05	0.360503390440321	0.962	0.965	1
"Trappc5"	9.06436593683821e-05	-0.226746831709067	0.085	0.233	1
"Ubb"	0.000105558416658078	-0.236794957618919	0.981	0.98	1
"Spcs2"	0.000110802983064538	-0.371219980661656	0.516	0.733	1
"Nudt16l1"	0.000112237431637481	-0.197459966364284	0.127	0.297	1
"Katna1"	0.000122798035452109	-0.206073710969871	0.028	0.129	1
"Cacng4"	0.000125478532146538	-0.395875662889303	0.451	0.678	1
"mt-Nd2"	0.000133369305210348	0.382884942524982	0.986	0.96	1
"4833420G17Rik"	0.000137563524495158	-0.242196555466515	0.085	0.223	1
"Sort1"	0.000138674733908857	-0.314448039610749	0.188	0.371	1
"Tuba1b"	0.000146640396515933	-0.386893456422799	0.897	0.936	1
"Setd5"	0.00015615874296348	0.417368636185652	0.601	0.495	1
"4933434E20Rik"	0.000168156405166711	-0.328277721289676	0.244	0.441	1
"Guk1"	0.000168353826341585	0.565951874181799	0.286	0.144	1
"Ldhb"	0.000173298117461763	-0.347906249974625	0.77	0.901	1
"H3f3a"	0.000180691196883597	-0.230614666932966	0.878	0.941	1
"Nck2"	0.000182661918223893	-0.281265036280963	0.136	0.302	1
"Psmd6"	0.000186059483771063	-0.192123129677309	0.122	0.287	1
"Osbpl1a"	0.000196613647058619	-0.349326774446491	0.3	0.51	1
"Bloc1s1"	0.000199040188065453	-0.355750296910638	0.263	0.465	1
"Gclm"	0.000199339614678907	-0.368214280560189	0.277	0.48	1
"Mlc1"	0.000202363131321372	-0.331116531204127	0.793	0.871	1
"Cp"	0.000204696920975185	0.347525614187941	0.93	0.901	1
"Insig1"	0.000209191980906963	-0.313045816134005	0.169	0.342	1
"Dhrs7"	0.000214774729631924	-0.242394962932651	0.286	0.515	1
"Htra1"	0.000226704545483808	-0.372814350140406	0.488	0.703	1
"Cplane1"	0.000235710664966413	-0.317654833735242	0.089	0.223	1
"Ptar1"	0.00023979773782689	-0.412677106369174	0.099	0.228	1
"Tff2"	0.000239868865572339	-0.309000997621897	0.263	0.46	1
"Rapgef6"	0.000245960763955566	-0.294968182822061	0.244	0.431	1
"Ier2"	0.000251761854499	-0.428902945739061	0.62	0.812	1
"Fos"	0.000256242716883219	-0.536243229417226	0.601	0.787	1
"Tmpo"	0.000257289583444408	-0.323437428753142	0.249	0.446	1
"ENSMUSG00000095041"	0.000272724655027947	-0.327410860866456	0.587	0.762	1
"mt-Cytb"	0.00027521181529295	0.239968309440597	0.972	0.965	1
"Gamt"	0.000323136005823203	-0.270962923272982	0.07	0.193	1
"Eif2b2"	0.000325474424183317	-0.256376844527388	0.08	0.208	1
"Hmgcs1"	0.000328637672419498	-0.320625308391559	0.164	0.332	1
"Abcb9"	0.000331122004559621	-0.307749404577465	0.225	0.426	1
"Ociad1"	0.000343072809400772	-0.3331810497781	0.343	0.559	1
"Psph"	0.000355817551124787	-0.356325711808921	0.357	0.564	1
"Slc25a4"	0.000366419486735062	-0.237892476766119	0.953	0.96	1
"Hsd17b12"	0.000368667160085086	-0.288816328820379	0.3	0.495	1
"Jmjd6"	0.000378084362929113	-0.156505625743804	0.178	0.356	1
"Tecr"	0.000404893601897356	-0.313638840945792	0.554	0.743	1
"Rps3"	0.000405579141562227	-0.340336489963895	0.892	0.931	1
"Btbd10"	0.000405704596954523	-0.158079355356213	0.085	0.213	1
"Tm2d3"	0.00040755470448077	-0.327863139027374	0.225	0.411	1
"Mmd2"	0.000414997287015552	-0.306510695876605	0.563	0.752	1
"Srsf2"	0.000416961086560496	-0.315001984959937	0.455	0.653	1
"Prdx4"	0.000445493765860534	-0.382642780566679	0.211	0.391	1
"Cks1b"	0.000450251350105353	-0.347808063918373	0.052	0.158	1
"Ptma"	0.000460224902420169	-0.223446851556	0.958	0.975	1
"Kcne1l"	0.000470860810190412	-0.3787441306467	0.211	0.386	1
"Cd1d1"	0.000477224100114369	-0.280080829485696	0.075	0.198	1
"9630028H03Rik"	0.000482003688639914	0.449946096177566	0.127	0.035	1
"Kirrel"	0.000489267152433199	-0.231794106649751	0.164	0.342	1
"Ptpa"	0.000492856614823162	-0.197146286924916	0.239	0.441	1
"Ugp2"	0.000523554916097056	-0.304591981806579	0.362	0.569	1
"Dusp1"	0.000530754657270408	-0.406457038331353	0.268	0.45	1
"Dcun1d4"	0.000546477486801502	-0.316652302829566	0.146	0.297	1
"Aak1"	0.000551014287266069	-0.303915490963612	0.305	0.47	1
"Mt3"	0.000563245415558519	0.457337888976838	0.685	0.619	1
"Pax6"	0.000572369440976701	0.323300018623095	0.901	0.916	1
"Ctbs"	0.000593818411006648	-0.162691454511674	0.052	0.158	1
"Etfdh"	0.0006049361853631	-0.265374677757985	0.075	0.193	1
"Mrpl28"	0.000613877876109172	-0.274582178998966	0.319	0.525	1
"Cuedc2"	0.000632923270570674	-0.306381615792697	0.376	0.579	1
"Tsc22d1"	0.000653805683076596	-0.293177493759076	0.554	0.738	1
"Wdr7"	0.000686892386855646	-0.254750687983723	0.089	0.208	1
"Mfge8"	0.000690564906181842	-0.293938972291575	0.798	0.881	1
"Fam171b"	0.000732302353919674	0.469677082328926	0.667	0.609	1
"Cited1"	0.000745036748395316	-0.315936934868806	0.056	0.163	1
"Nupr1"	0.000754461538262527	0.452863224072258	0.638	0.52	1
"Dnajc4"	0.000777812066019616	-0.252540050381807	0.066	0.173	1
"Mllt3"	0.000784148950331377	-0.320646345175033	0.169	0.322	1
"Msmo1"	0.000788165545730806	-0.373094737726389	0.127	0.257	1
"Rab2a"	0.000802791345791346	-0.349226274323873	0.61	0.782	1
"Shisal2b"	0.000845937330201304	-0.477958618923315	0.657	0.802	1
"Car2"	0.000851757120493177	-0.251056822856379	0.981	0.975	1
"Tmem248"	0.000857860491190523	-0.211267169088908	0.103	0.238	1
"H2-Ke6"	0.000876664994667726	-0.289315655141662	0.3	0.49	1
"Erh"	0.000890221242825955	-0.307129333506171	0.385	0.589	1
"Rbm4"	0.000937284879274986	-0.193772751630933	0.113	0.252	1
"Fam136a"	0.000939933307855311	-0.158199866942323	0.033	0.119	1
"2410004B18Rik"	0.000948869906393648	-0.15050492397932	0.113	0.248	1
"Med14"	0.000980704081017297	-0.231194591547489	0.103	0.228	1
"Prdx1"	0.000982951458567106	-0.214847517895475	0.911	0.955	1
"Bsg"	0.000997436567322398	-0.253320400009112	0.958	0.97	1
"Tbc1d22b"	0.00100449566385201	-0.234182734006487	0.052	0.153	1
"mt-Atp8"	0.0010279006038524	0.509689730956699	0.531	0.455	1
"Slc9a3r1"	0.00103183359921738	-0.436105700085925	0.282	0.455	1
"Idh3a"	0.00107078500185495	-0.1514313472043	0.08	0.193	1
"Kcna6"	0.00110433283377947	-0.15959280178747	0.028	0.109	1
"Rac3"	0.00110914769974508	-0.216640694197082	0.075	0.188	1
"Ints10"	0.00112599623347157	-0.230709401460151	0.052	0.149	1
"Fdx1"	0.00112688052046347	-0.233957533773432	0.16	0.302	1
"Pcolce2"	0.00113981449501695	-0.277015917988575	0.3	0.485	1
"Polg"	0.00115030275964036	-0.234808225759299	0.305	0.5	1
"Nsfl1c"	0.00116502726259821	-0.16741917330936	0.188	0.356	1
"Rftn2"	0.00116910098338376	-0.20913936971483	0.169	0.322	1
"Ago3"	0.00117634672749183	-0.226161610671275	0.178	0.337	1
"Rcbtb2"	0.0011991285881404	-0.235269472896214	0.131	0.277	1
"Igf1r"	0.0012037509235668	-0.342119489735818	0.704	0.837	1
"Imp4"	0.00121432619896448	-0.208258155094131	0.056	0.153	1
"Gstp1"	0.00125940204564656	-0.23926787185726	0.164	0.312	1
"Rex1bd"	0.0012815828932429	-0.287894410628639	0.357	0.554	1
"0610012G03Rik"	0.00128185965666377	-0.359615703348962	0.39	0.55	1
"Atp6v0c"	0.00130566755452043	-0.289176819868503	0.761	0.886	1
"Mapk4"	0.00130730161601066	0.416997809981236	0.512	0.426	1
"Brwd3"	0.00133259677469286	-0.244892779774279	0.085	0.198	1
"Spon1"	0.00138531196525763	-0.223575004998244	0.873	0.901	1
"Mapk8ip3"	0.00140029214786671	-0.281625498337787	0.117	0.248	1
